Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Fisiología vegetal y nutrición,Convenio 1790. Manejo integrado del cultivo ,Alexander Rebolledo Roa,Ejecutor,AGROSAVIA,"1. Colciencias
2. Aproare
3. Asfruher","1. Financiador
2 y 3. Vertice sociedad civil organizada","Desconocimiento de factores hídricos y nutricionales asociados a productividad del cultivo (Abscisión, cuajado, rendimiento y calidad de fruto)",Optimizar la floración y productividad del aguacate Hass mediante manejo hídrico y nutricional.,"Los bajos rendimientos del aguacate combinado con la proyección de nuevas zonas de siembra para incrementar la participación en el mercado internacional, requieren del desarrollo de tecnologías que conduzcan a un incremento en la productividad.","CONPES 3582 DEL 25 DE ABRIL DE 2009 ""Política Nacional de Ciencia, Tecnología e Innovación""","Nutrición. metodología
del índice de balance de nutrientes (ibn) Kenworthy .
Riego. cálculo de la ETo por el método de la FAO-Penman Monteith (Allen et al., 2006) y el cálculo de la lámina de riego con base en el balance hídrico.","1. Abscisión
2. Crecimiento del fruto (MS, diámetro, Peso).
3. Estados fenológicos
4. Variables climáticas
5. Contenido nutrientes del suelo
6. Contenido mineral del fruto",Investigación,"1. Caracterización de la fenología floral (140 días a antesis), 
2. Abscisión global. 99,85 % (276.455 flores)
3. Cuajado. 0,15 % 
4. Incremento en rendimiento con manejo de IBN + riego. de 7,5 a 14 t/ha y la producción por planta de 61 a 98 kg.","1. Protocolo aplicación láminas de riego Antioquia, Tolima, Cauca (Fase 1. Palmira)
2. Protocolo para manejo de la fertilización  (Antioquia, Tolima, Cauca) (Fase 1).","Artículo científico. Pattern of flower and fruit abscision and fruit growth of hass avocado under tropical conditions
chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/
https://www.cropj.com/Roa_18_09_2024_547_554.pdf

Libros.
1. Criterios para la definición de planes de fertilización en el cultivo de aguacate Hass con un enfoque tecnificado https://doi.org/10.21930/agrosavia.manual.7402384

2. Requerimientos hídricos del cultivo de aguacate (Persea americana) variedad Hass en zonas productoras de Colombia https://doi.org/10.21930/agrosavia.manual.7402322",,Resultado de investigación ,2026-04-03 0:00:00,No definido,Investigación,"1. Disponibilidad de proocolos estandarizados para aplicación de nutrición y riego.
2. Incremento den rendimiento","ncremento de la productividad del cultivo (de 7,5 a 14 t/ha), mejorando la rentabilidad del sistema productivo de aguacate Hass.",Fortalecimiento de las capacidades de manejo productivo de los agricultores mediante prácticas de riego y nutrición más eficientes.,Uso más eficiente del agua y de los nutrientes mediante manejo hídrico y nutricional basado en criterios técnicos.,"Antioquia, Tolima, Cauca","Rionegro, Herveo, Morales",Asociación de productores,"Asociación de Productores de Frutas y Hortalizas de Herveo (ASFRUHER)
Asociación de Productores de Aguacate de El Retiro (APROARE)","Productores de aguacate Hass de Herveo (Tolima) y El Retiro (Antioquia), técnicos y otros productores de las zonas productoras de aguacate en Colombia.",Zonas productoras de aguacate Hass a nivel nacional ,NA,NA,Colciencias,$ 3.000.000.000,2013,2016,Finalizado,Indicadores de sostenibilidad ambiental,,
Bioeconomía:  Biodiversidad,Agraz,Fisiología vegetal y nutrición,Aprovechamiento sostenible de agraz en el Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Agraz,Material de siembra y mejoramiento genético,Aprovechamiento sostenible de agraz en el Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Agraz,Material de siembra y mejoramiento genético,Aprovechamiento sostenible de agraz en el Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Aguacate Hass,Fisiología vegetal y nutrición,Convenio 1929. Desarrollo y validación de tecnologías para incrementar la productividad del cultivo ,Alexander Rebolledo Roa,Ejecutor,AGROSAVIA,"1. Gobernación del Cauca, 2. Universidad del Cauca",1. Supervisor. 2. Cojejecutor Vertice Institución de educación superior,Baja disponibilidad de opciones tecnológicas para el manejo de riego y nutrición ,Validar tecnologías de nutrición y riego para incrementar productividad del aguacate Hass en el Cauca,"Mejora la eficiencia hídrica y nutricional en aguacate Hass, reduciendo alternancia de cosechas y aumentando rendimiento en zonas productoras del Cauca","CONPES 3582 — Política Nacional de Ciencia, Tecnología e Innovación; Plan Nacional de Desarrollo","IBN de Kenworthy (1973); ETo FAO-Penman-Monteith (Allen et al., 2006); lámina de riego por balance hídrico; escala fenológica BBCH (Alcaraz et al., 2013)","Diámetro de fruto, peso fresco, peso seco, materia seca, abscisión, cuajado, estados fenológicos BBCH, IBN foliar, ETo, lámina de riego",Desarrollo,"Fertilización basada en IBN incrementó diámetro de fruto (T2: 61,43 mm vs T1: 54,77 mm). Abscisión 98–99,9%. Cuajado 0,15–0,87%. Riego 0,75 ETo mejoró peso seco del mesocarpo","Protocolo de fertilización basada en IBN para aguacate Hass Cauca, protocolo de riego por balance hídrico, modelo fenológico BBCH, aplicativo web de recomendación nutricional e hídrica","1. Criterios para la definición de planes de manejo de la fertilización y para la aplicación de riego en cultivos de aguacate Hass con un enfoque tecnificado. https://editorial.agrosavia.co/index.php/publicaciones/catalog/book/355.
2. Prácticas de manejo sostenible para fertilización y riego de aguacate Hass en el departamento del Cauca. https://editorial.agrosavia.co/index.php/publicaciones/catalog/book/357
3. Nutrient balance in Hass avocado trees as a tool to optimize crop fertilization management. https://www.mdpi.com/2073-4395/13/8/1956
4. Rodríguez P., Villamizar J., Rebolledo A. (2025). Impact of Fruit Development Age on Postharvest Quality of Hass Avocado. Int J Fruit Sci, 25, 18–35. DOI: 10.1080/15538362.2025.2480570
Rebolledo-Roa A., Burbano-Díaz R.A., Medina-Cano C.I. (2024).",Sistema Experto TecnoHass,Aplicativo Web,5,7,Finalizado,"Incremento de 12% en diámetro de fruto con fertilización IBN; reducción de abscisión ~1,4% con fertilización foliar B+N en estado fenológico coliflor EF515",Mayor proporción de frutos en calibres comerciales de alto valor (178–325 g/fruto) con fertilización IBN; rendimiento de hasta 17 t/ha en finca con riego vs promedios menores sin manejo,"1.440 productores de aguacate Hass de Morales, El Tambo y municipios del Cauca beneficiados con tecnologías de nutrición y riego de alta precisión y bajo costo de implementación","Uso eficiente del agua con riego 0,75 ETo; reducción de fertilizantes excesivos mediante IBN, disminuyendo riesgo de lixiviación de nutrientes y contaminación de fuentes hídricas",Cauca,"Morales, Cajibío, Piendamó, Caldono, Tambo, Timbío, Popayán, Sotará, Caloto, Corinto, Toribío.",Asociación de productores,1440,Productores de aguacate Hass de zonas productoras del Cauca y regiones andinas colombianas con condiciones agroecológicas similares,Departamento del Cauca y zonas productoras de aguacate Hass en regiones andinas colombianas,Aplicativo Web,,Sistema General de Regalías-Cauca,,2018,2023,En ejecución,Indicadores de sostenibilidad ambiental,Fertilización por sitio específico,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Aguacate Hass,Fisiología vegetal y nutrición,Escalar tecnologías (TRL) para el manejo de la fertilización y del riego en cultivos de aguacate en el Cauca y Valle del Cauca (Sistema productivo para consumo interno y para exportación (Fase 3),Alexander Rebolledo Roa,Líder,AGROSAVIA,"SENA CEAI, Universidad Cooperativa de Colombia, CREATIC, BIOINNOVA, Cámara de Comercio de Palmira, CITRIVIVEROS, Alcaldías de Popayán, Piendamó, El Tambo, Sotará, Palmira, Caicedonia, Versalles, San José del Palmar, asociaciones de productores locales ",SENA CEAI: coejecución en actividades de apropiación social del conocimiento y fortalecimiento TIC. Universidad Cooperativa de Colombia: coejecución en cursos de formación sobre plataforma TecnoHass. CREATIC: desarrollo y mejora de plataformas digitales. BIOINNOVA: apropiación social del conocimiento. Cámara de Comercio de Palmira: vinculación tecnológica y fortalecimiento de modelos de negocio.,Deficiente orientación técnica en fertilización y riego en aguacate Hass y Lorena en Cauca y Valle del Cauca,Validar tecnologías de fertilización y riego para aguacate Hass y Lorena en Cauca y Valle del Cauca,"Escala tecnologías IBN y balance hídrico de Hass hacia Lorena, ampliando cobertura a Valle del Cauca y cerrando brecha tecnológica en ambos sistemas productivos","PND 2022-2026 'Colombia Potencia Mundial de la Vida', Convergencia Regional; CONPES 4069 de 2021 CTI; Planes de Desarrollo Departamentales Cauca y Valle del Cauca","IBN de Kenworthy (1973); ETo FAO-Penman Monteith (Allen et al., 2006); escala BBCH (Salazar-García et al., 1998); monitoreo Agro 4.0 de variables climáticas","Diámetro y peso del fruto, materia seca, calibre Codex, rendimiento kg/árbol, abscisión, cuajado, IBN foliar, ETo y lámina de riego, estados fenológicos BBCH",Innovación,Fertilización IBN incrementó producción de 7 a 14 t/ha; lámina 75% ETo fue óptima; fertilización foliar N+B aumentó producción en 14 t/ha; rendimiento de hasta 20 kg/árbol con IBN,"Planes de manejo de nutrición y riego (Hass y Lorena, Cauca y Valle del Cauca), módulo fertilización y riego TecnoHass (TRL 8), manuales técnicos, artículos científicos indexados",Rebolledo A. y Dorado J. (2017). Manejo de la fertilización y del riego en cultivos de aguacate Hass en Cauca. AGROSAVIA. Rebolledo A. y Burbano R.A. (2023). Nutrición basada en IBN para aguacate Hass en condiciones tropicales colombianas. AGROSAVIA. Rodríguez P. et al. (2023). Factores territoriales y calidad del fruto en sistemas de aguacate en la región pacífico. AGROSAVIA.,Protocolos de fertilización y riego para aguacate Hass y Lorena integrados en plataforma TecnoHass (Cauca y Valle del Cauca),Resultado de investigación / Herramienta tecnológica digital (aplicativo web),4,8,En ejecución,Incremento de 7 a 14 t/ha con IBN + riego 75% ETo; mayor proporción calibre 22 (165–196 g); menor descarte,Reducción de descarte en planta exportadora del 6%; incremento de 20 kg/árbol con IBN (segundo año de cosecha); potencial de reducción de pérdidas poscosecha del 60%,889 productores (Hass y Lorena) en Cauca y Valle del Cauca con acceso a tecnologías de nutrición y riego de precisión,Reducción del uso indiscriminado de fertilizantes de síntesis química; uso eficiente del agua (riego por ETo vs gravedad); disminución de escorrentía y riesgo de lixiviación de nutrientes,"Chocó, Cauca, Valle del Cauca","San José del Palmar, El Tambo, Piendamó, Sotará, Popayán, Caicedonia, Versalles, Palmira",Asociación de productores,889,Productores de aguacate Hass y Lorena en subregiones del Cauca y Valle del Cauca no incluidos directamente; asistentes técnicos y extensionistas agropecuarios de la región,Zonas productoras de aguacate Hass (exportación) y Lorena (consumo interno) en Cauca y Valle del Cauca; extensible a región pacífico,Aplicativo web TecnoHass — módulo fertilización y riego (TRL 8); protocolos de manejo nutricional y de riego para aguacate Hass y Lorena; bases de datos de extracción de nutrientes y curvas de crecimiento de fruto,,Entes Nacionales y Territoriales,24876204138,2024,2027,En ejecución,Nutrición y riego para aguacate de consumo interno (Lorena),Fertilización por sitio específico (IBN) y riego por balance hídrico,
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Fisiología vegetal y nutrición,Desarrollo de modelo fenológico  aguacate Hass  Pijao – Quindío (Fase 1),Alexander Rebolledo Roa,Líder,AGROSAVIA,Global Green SAS,Financiador y co-ejecutor técnico de apoyo logístico en campo; propietario de los activos instalados (estaciones climáticas),Ausencia de modelo fenológico predictivo para aguacate Hass en gradiente altitudinal andino del Quindío que dificulta el manejo oportuno del cultivo,"Desarrollar un modelo fenológico predictivo basado en GDD para aguacate Hass en gradiente altitudinal de Pijao, Quindío","Permite anticipar eventos críticos (floración, cosecha) con base en temperatura acumulada, optimizando manejo agronómico y reduciendo incertidumbre productiva",Plan Nacional de Desarrollo — Bioeconomía; CONPES 3582 — Política Nacional CTI; Pacto por Colombia — Pacto por la productividad agropecuaria,"Escala fenológica BBCH (Alcaraz et al., 2013); grados-día de crecimiento GDD (base 10°C, Aubert 1972); análisis factorial confirmatorio CFA; estadística circular; estaciones GeoCampo/NASA","Estados fenológicos BBCH (EF010–EF719), GDD acumulados, temperatura máx/mín/media, humedad relativa, velocidad del viento, diámetro ecuatorial de fruto, peso fresco, peso seco, materia seca",Investigación,"Gradiente térmico-hídrico determina sincronía fenológica. Altitud ~2200 m es óptima (antesis ρ=0,82). GDD predice progresión fenológica. L3 (~2056 m): 20,58 kg/árbol cosecha 2, materia seca 22,8 %","Documento técnico con modelo fenológico GDD, caracterización climática altitudinal y clasificación Codex; 1 artículo científico sometido a revista indexada; 2 estaciones climáticas automatizadas instaladas","Rebolledo, A., Burbano, R., Villamizar, J., & Corrales, D. (2025). Climatic Drivers of Flowering Synchrony in ‘Hass’ Avocado Under Tropical Andean Conditions. Plants, 14(24), 3822.",Modelo fenológico predictivo basado en GDD para aguacate Hass en gradiente altitudinal andino tropical del Quindío,Resultado de investigación,2,5,Finalizado,"GDD predice progresión fenológica con alta precisión (CFI=0,976); sincronía óptima en ~2200 m (ρ=0,82); L3 produce frutos 62–64 mm vs L5 55–59 mm","L3 produce materia seca 22,8 % y aceite 58,5 % base seca (cosecha tardía); rendimiento 20,58 kg/árbol cosecha 2; segmentación de mercado por altitud y momento de cosecha optimiza valor comercial","115 beneficiarios directos (productores de aguacate de Pijao, Quindío) con acceso a modelo fenológico que mejora planificación de cosecha y reducción de pérdidas por asincronía floral",Manejo basado en señales térmicas reales reduce aplicaciones innecesarias de insumos; monitoreo microclimático continuo aporta base para adaptación al cambio climático en sistemas andinos tropicales,Quindío,Pijao,Otro,115,Productores de aguacate Hass en zonas andinas colombianas con gradiente altitudinal 1600–2500 m.s.n.m.,Zonas productoras de aguacate Hass en gradiente altitudinal andino 1600–2500 m.s.n.m. en Colombia,,,Sector privado,496881755,2024,2025,Finalizado,Modelación fenológica con acumulación térmica (GDD) en sistemas frutícolas altoandinos,Fertilización por sitio específico,
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Manejo sanitario y fitosanitario,Actividad 6. Generar practicas de manejo fitosanitario de plags de importancia cuarentenaria validadas en regiones productoras del departamento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Aguacate Hass,Manejo ambiental y sostenibilidad,convenio 1929. Actividad 1. Valoración de la oferta biofísica y caracterización socioeconómica de sistemas de producción de aguacate para la identificación de nichos productivos y tecnología requerida en el desarrollo de cultivos de aguacate Hass en el Departamento del Cauca.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Inclusión social en el desarrollo tecnológico: Apropiación social del conocimiento desde la ciencia ciudadana y la ciencia comunitaria,Aguacate Hass,Manejo ambiental y sostenibilidad,convenio 1929. Actividad 6. Divulgación de la oferta tecnológica disponible del sistema productivo de aguacate y las tecnologías validadas .  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
